Environment		Windows 10				
Test data		05.08.2022				
Tester		Kamluk				
						
#	Examination	Result				
						
1	Регистрация с помощью телефона					
2	Возможность набора номера	Passed				
3	Ввод номера телефона в поле для регистрации	Passed				
4	Отображения номера	Passed				
5	"Отображения кнопки ""Регистрация"""	Passed				
6	"Отображения регистрации при нажатии кнопки ""Регистрация"""	Passed				
7	"Приходит ли смс с кодом на указанный номер телефона
при регистрации"	Passed				
8	Проходит ли регистрация без ввода номера телефона	Failed				
9	Возможность сброса пароля	Passed				
10	Приходит ли смс о сбросе пароля	Passed				
11	Ввод специальных символов в поле номер	Failed				
12	Ввод букв в поле номер	Failed				
13	Максимальная и минимальная длина номера	Failed				
14	Обязательность к заполнению поле номер	Passed				
15	"Возможность регистрации в браузере по номеру
телефона"	Passed				
						
	Регистрация с помощью почты					
1	Отображения поля для ввода email	Passed				
2	Ввод email для регистрации	Passed				
3	Отображения email в поле для регистрации	Passed				
4	Ввод правильного email (например test@mail.ru)	Passed				
5	Ввод некорректного email (например @mail.ru)	Failed				
6	Ввод кирилличный email	Failed				
7	Ввод специальных символов	Failed				
8	Ввод иероглифов	Failed				
9	"Отображается ли кнопка ""Регистрация"" при вводе email"	Passed				
10	Приходит ли уведомления на почту об успешной регистрации	Passed				
11	Сброс пароля 	Passed				
12	Приходит ли уведомления на почту о сбросе пароля	Passed				
13	Возможность восстоновить пароль через почту	Passed				
						
	Регистрация с помощью соцсетей					
1	Отображения регистрации с помощью соцсетей	Passed				
2	Выбор соцсетей для регистрации	Passed				
3	Проходит ли регистрация через выбранную соцсеть	Failed				
4	Возможность ввести данные соцсети вручную	Passed				
5	"Приходит ли уведомления на почту о регистрации с помощью 
соцсетей"	Passed				
6	Возможность сброса пароля через соцсети	Failed				
7	Возможность восстановления пароля через соцсети	Failed				
						
	Модуль: Корзина					
1	"Отображения кнопки ""Корзина"""	Passed				
2	Возможность перейти в корзину	Passed				
3	Возможность поиска по самой корзине	Failed				
4	Добавления товара в корзину 	Passed				
5	Удаления товара с корзины 	Passed				
6	Добавления одновременно  нескольких товаров в корзину	Failed				
7	Удаления одновременно  нескольких товаров с корзины	Failed				
8	Оформления заказа через корзину	Passed				
9	"Приходит ли уведомления на почту после оформления 
заказа"	Passed				
10	Добавления товара в корзину без авторизации 					
						
	Модуль:Поле поиска					
1	"Отображения поля ""Поиск"""	Passed				
2	"Отображения кнопки ""Поиск"""	Passed				
3	"Отображения кнопки ""Поиск"" при наборе текста в поле поиска"	Passed				
4	"Отображения кнопки ""Поиск"" при удалении текста в поле поиска"	Passed				
5	Ввод в поиске специальных символов 	Failed				
6	Ввод в поиске на кириллице	Failed				
7	Ввод в поиске иероглифы	Failed				
8	"Отображения результатов поиска при нажатии на кнопку ""Поиск"""	Passed				
9	Поиск товара по эмодзи	Failed				
10	Поиск товара по фото	Failed	
